feature_set,balancing,classifier,accuracy,precision,recall,f1,auc,mcc
METRICS_POST_TFIDF_RISK,NONE,GB,0.7991384789877177,0.5168872905560212,0.44598648397377977,0.46335521506914196,0.7531916498255116,0.30403134862797354
METRICS,NONE,GB,0.8053967609688931,0.5118545606560437,0.43978430140136127,0.46305797278965416,0.751017659022738,0.30726362017234704
POST_TFIDF,SMOTE,RF,0.7654194700674934,0.4513988310356092,0.4963370311882109,0.4612264154191605,0.720137441414176,0.2697126219415369
METRICS_RISK,NONE,RF,0.809611021444549,0.5492456385318615,0.4257035561736106,0.4587296830493432,0.7829520253025328,0.31433286689642176
POST_TFIDF,SMOTE,GB,0.7505235698898071,0.45550543397948506,0.4862220886594752,0.4562069396111671,0.6842677802657283,0.2578257647101786
POST_TFIDF,BLSMOTE,GB,0.7489965827817648,0.4680524067677901,0.47697078380381464,0.4542405230600175,0.6805106066123656,0.25915692535455515
METRICS_RISK,NONE,LR,0.8057467664405593,0.5832833632711519,0.4171698446743819,0.4536065443550147,0.7562148893473466,0.3082862987488511
POST_TFIDF,SMOTE,ET,0.769492635505412,0.47525630293465304,0.4678528426604652,0.45333393192250343,0.7056570548711654,0.2704572712978839
METRICS,NONE,RF,0.8101498446842144,0.5195815504105082,0.43146467789117515,0.45263753762234243,0.7820204063219756,0.3077890624537842
METRICS_POST_TFIDF_RISK,NONE,LR,0.8045823933689961,0.5793344472145923,0.4162361232234191,0.45130401611903587,0.7577215696027322,0.3053655281026917
POST_TFIDF,BLSMOTE,RF,0.756844203239899,0.43665867801148217,0.4755951294118263,0.44512979200168507,0.7181539164448216,0.24343795161253137
POST_TFIDF,BLSMOTE,ET,0.7613509217592055,0.4532927385136555,0.4576241884753681,0.44384793824435986,0.708595115100334,0.2523260667041197
METRICS_POST_TFIDF_RISK_SELECTED,NONE,RF,0.8085324043437858,0.5211571226162595,0.41500792996074304,0.4427715755545167,0.7712446550415777,0.2962406654713892
METRICS_POST_TFIDF_RISK_SELECTED,NONE,GB,0.7949129005398725,0.4830061243489615,0.4222610627928232,0.4382533830364521,0.7483747998576286,0.27656753554745117
METRICS_POST_TFIDF_RISK_SELECTED,NONE,LR,0.8156726252340101,0.5661574606679461,0.4004745798665944,0.4331883847443636,0.7562417290403037,0.30610068297104626
METRICS_POST_TFIDF_RISK,NONE,ET,0.8054426112031965,0.48383706422254974,0.4170557716129404,0.43303445246562505,0.7661956492228917,0.27859653085606984
METRICS_POST_TFIDF_RISK_SELECTED,NONE,ET,0.7999515315547359,0.4765699699160944,0.40200081447086894,0.42136891855719766,0.7606183016157061,0.26755111239440643
POST_TFIDF,NONE,GB,0.7919268901045196,0.4661382111250532,0.41235916332105077,0.4171401747605115,0.6906363395718924,0.24855041373593753
METRICS_POST_TFIDF_RISK,NONE,RF,0.8108595698117772,0.4596117434852729,0.39633050232687256,0.414511045606624,0.7737935978137105,0.26977911552745915
POST_TFIDF,NONE,RF,0.7964202860668911,0.4297737259203728,0.3678920393983915,0.37230209321593366,0.7113943712039908,0.21210378982549036
POST_TFIDF,NONE,ET,0.7955500989744506,0.4396269019078617,0.3562159316787266,0.36610185258911043,0.702737369510315,0.21258056275625375
METRICS_POST_TFIDF_RISK,NONE,SVM_RBF,0.818233260159773,0.39018022145837883,0.3485827290273751,0.353752101863634,0.7176320874146773,0.23027891890458954
POST_TFIDF,NONE,SVM_RBF,0.8147138639253884,0.36786024817341606,0.35256964249704725,0.3513199608787375,0.6604352775571627,0.21851375778332874
METRICS_RISK,NONE,SVM_RBF,0.81772495875492,0.38794578922394657,0.34572558617023225,0.35088260039735836,0.7162310056739681,0.22751488545168058
METRICS_POST_TFIDF_RISK_SELECTED,NONE,SVM_RBF,0.8164322555143256,0.3859433338378511,0.33906092294477047,0.347136700897601,0.7255843630374216,0.22337992133344348
METRICS,NONE,SVM_RBF,0.8106872117080438,0.3955536571813494,0.33268814408015857,0.337881578265549,0.7366482615821601,0.20962787017292045
RISK_FEATURES,NONE,GB,0.7956632324685005,0.38134659880912414,0.3214224930141445,0.3297613224728307,0.7184990205548396,0.19323763239467293
RISK_FEATURES,NONE,RF,0.7950194412788408,0.3709308791332625,0.3175127185780543,0.32325705375313335,0.7148321792456787,0.18590625583738074
RISK_FEATURES,NONE,SVM_RBF,0.7984825007579787,0.3346546906431337,0.3156029441419641,0.3200118862477071,0.6135104512701675,0.18246052563747747
RISK_FEATURES,NONE,ET,0.793753081483634,0.3744594405438015,0.30890744101633394,0.31978131968044393,0.7122129766271695,0.18499123815532492
RISK_FEATURES,NONE,LR,0.7962178156474252,0.3480371890496179,0.3073024515311267,0.3159160833528816,0.7213062881868632,0.18170049217777953
POST_TFIDF,NONE,LR,0.8043388653053377,0.29798614399576556,0.30010932503672977,0.29221014612463164,0.7664916502814116,0.16149367569984246
